frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
153,4.971,987.64,232.43,6525.50,nan,nan,nan,False
154,5.005,988.12,234.22,6627.00,nan,nan,nan,False
155,5.035,988.16,234.22,6652.00,nan,nan,nan,False
156,5.065,988.90,233.87,6721.50,nan,nan,nan,False
157,5.099,988.76,233.40,6830.50,nan,nan,nan,False
158,5.127,987.82,233.19,6536.00,nan,nan,nan,False
159,5.160,988.37,233.62,6641.00,nan,nan,nan,False
160,5.194,987.74,232.66,6783.00,nan,nan,nan,False
161,5.228,987.39,233.37,6725.00,nan,nan,nan,False
162,5.261,987.15,233.20,6915.50,nan,nan,nan,False
163,5.292,987.26,232.73,6683.00,nan,nan,nan,False
164,5.325,987.34,233.76,6811.50,nan,nan,nan,False
165,5.358,981.47,235.59,6502.00,nan,nan,nan,False
166,5.392,976.04,236.39,6635.00,nan,nan,nan,False
167,5.425,974.33,235.17,6569.00,nan,nan,nan,False
168,5.459,973.21,234.63,6340.00,nan,nan,nan,False
169,5.494,972.21,233.82,6462.50,nan,nan,nan,False
170,5.526,972.33,233.52,6521.00,nan,nan,nan,False
171,5.555,972.43,231.76,6444.00,nan,nan,nan,False
172,5.584,972.00,231.39,6032.00,nan,nan,nan,False
173,5.613,971.87,230.62,5903.00,nan,nan,nan,False
174,5.642,972.76,234.26,5958.00,nan,nan,nan,False
175,5.675,973.20,232.23,6034.00,nan,nan,nan,False
176,5.708,973.44,231.33,5871.50,nan,nan,nan,False
177,5.741,973.66,231.17,6043.50,nan,nan,nan,False
178,5.776,974.30,230.84,5834.00,nan,nan,nan,False
179,5.809,974.05,230.65,5930.50,nan,nan,nan,False
180,5.841,973.41,229.93,5973.00,nan,nan,nan,False
181,5.874,973.99,230.08,5972.50,nan,nan,nan,False
182,5.906,974.51,230.16,6143.00,nan,nan,nan,False
183,5.940,975.11,230.40,5995.00,nan,nan,nan,False
184,5.971,975.88,231.45,5837.00,nan,nan,nan,False
185,6.005,975.69,231.34,5980.50,nan,nan,nan,False
186,6.035,976.02,230.40,6054.00,nan,nan,nan,False
187,6.064,975.93,230.37,6111.50,nan,nan,nan,False
188,6.094,976.33,231.12,5978.00,nan,nan,nan,False
189,6.127,976.88,230.03,6056.00,nan,nan,nan,False
190,6.158,976.53,229.18,6138.50,nan,nan,nan,False
191,6.193,977.23,230.09,6071.50,nan,nan,nan,False
192,6.226,977.59,230.70,6282.50,nan,nan,nan,False
193,6.259,977.81,231.23,6143.50,nan,nan,nan,False
194,6.292,978.08,232.08,6185.00,nan,nan,nan,False
195,6.326,978.34,231.62,6141.50,nan,nan,nan,False
196,6.363,978.01,231.14,6112.00,nan,nan,nan,False
197,6.399,978.40,231.25,6411.50,nan,nan,nan,False
198,6.432,978.07,230.54,6176.50,nan,nan,nan,False
199,6.464,977.68,230.72,6169.00,nan,nan,nan,False
200,6.498,977.73,230.80,6312.50,nan,nan,nan,False
201,6.533,978.36,230.95,6170.00,nan,nan,nan,False
202,6.565,978.24,231.46,6495.00,nan,nan,nan,False
203,6.596,977.90,230.99,6392.50,nan,nan,nan,False
204,6.626,978.68,231.82,6374.50,nan,nan,nan,False
205,6.659,978.01,232.04,6367.50,nan,nan,nan,False
206,6.691,977.42,231.78,6490.00,nan,nan,nan,False
207,6.720,977.82,232.74,6546.00,nan,nan,nan,False
208,6.751,977.63,232.43,6307.50,nan,nan,nan,False
209,6.784,978.28,232.27,6282.00,nan,nan,nan,False
210,6.817,978.44,232.67,6373.00,nan,nan,nan,False
211,6.851,978.93,233.28,6345.50,nan,nan,nan,False
212,6.885,978.42,232.77,6713.00,nan,nan,nan,False
213,6.918,978.32,233.32,6407.00,nan,nan,nan,False
214,6.948,979.01,233.14,6302.00,nan,nan,nan,False
215,6.976,979.19,233.34,6427.50,nan,nan,nan,False
216,7.008,979.38,233.89,6445.00,nan,nan,nan,False
217,7.037,979.24,233.93,6581.00,nan,nan,nan,False
218,7.067,978.92,233.02,6415.00,nan,nan,nan,False
219,7.096,979.17,234.41,6472.00,nan,nan,nan,False
220,7.126,978.92,234.69,6364.00,nan,nan,nan,False
221,7.160,979.34,234.74,6415.00,nan,nan,nan,False
222,7.193,979.40,235.46,6742.00,nan,nan,nan,False
223,7.227,979.26,234.57,6538.00,nan,nan,nan,False
224,7.261,979.88,235.37,6398.50,nan,nan,nan,False
225,7.295,979.75,234.69,6515.00,nan,nan,nan,False
226,7.327,979.95,234.86,6456.50,nan,nan,nan,False
227,7.360,979.11,235.41,6725.50,nan,nan,nan,False
228,7.394,978.27,235.26,7971.50,nan,nan,nan,False
229,7.426,978.66,235.64,8070.50,nan,nan,nan,False
230,7.459,979.05,235.61,8085.50,nan,nan,nan,False
231,7.493,978.92,235.37,8088.50,nan,nan,nan,False
232,7.528,978.74,235.78,8155.50,nan,nan,nan,False
233,7.560,979.06,235.33,7987.00,nan,nan,nan,False
234,7.595,978.80,235.54,7983.00,nan,nan,nan,False
235,7.628,978.83,235.71,8033.00,nan,nan,nan,False
236,7.661,979.05,235.64,8032.00,nan,nan,nan,False
237,7.694,980.24,236.46,8389.00,nan,nan,nan,False
238,7.728,979.30,235.99,8129.50,nan,nan,nan,False
239,7.762,979.42,236.28,8124.50,nan,nan,nan,False
240,7.794,978.99,235.55,8054.00,nan,nan,nan,False
241,7.826,979.34,236.56,8088.50,nan,nan,nan,False
242,7.860,980.04,236.17,8222.50,nan,nan,nan,False
243,7.895,979.48,236.46,8083.50,nan,nan,nan,False
244,7.927,979.61,236.13,8039.00,nan,nan,nan,False
245,7.962,980.10,236.83,8115.50,nan,nan,nan,False
246,7.994,980.40,237.06,8201.00,nan,nan,nan,False
247,8.027,980.41,237.09,8230.50,nan,nan,nan,False
248,8.060,980.04,237.53,7996.50,nan,nan,nan,False
249,8.093,980.32,237.21,8062.50,nan,nan,nan,False
250,8.127,980.61,237.36,8059.00,nan,nan,nan,False
251,8.162,980.57,237.48,8022.50,nan,nan,nan,False
252,8.195,981.09,237.73,8265.00,nan,nan,nan,False
253,8.229,980.54,237.62,8032.50,nan,nan,nan,False
254,8.261,981.02,237.48,8109.00,nan,nan,nan,False
255,8.294,980.31,237.77,8043.00,nan,nan,nan,False
256,8.326,980.80,238.16,8106.50,nan,nan,nan,False
257,8.361,981.07,237.95,8323.50,nan,nan,nan,False
258,8.393,980.37,237.66,8077.50,nan,nan,nan,False
259,8.427,980.97,237.89,8084.00,nan,nan,nan,False
260,8.456,981.39,237.83,8156.50,nan,nan,nan,False
261,8.489,981.00,237.51,8149.50,nan,nan,nan,False
262,8.519,981.18,238.12,8338.50,nan,nan,nan,False
263,8.552,980.74,237.86,8061.50,nan,nan,nan,False
264,8.581,981.35,238.67,8123.50,nan,nan,nan,False
265,8.614,981.18,238.76,8077.00,nan,nan,nan,False
266,8.648,981.04,238.99,8078.00,nan,nan,nan,False
267,8.681,981.21,238.54,8146.50,nan,nan,nan,False
268,8.712,981.52,238.83,8058.50,nan,nan,nan,False
269,8.744,980.84,238.46,8066.50,nan,nan,nan,False
270,8.778,980.91,238.64,8092.00,nan,nan,nan,False
271,8.812,980.93,238.43,8068.50,nan,nan,nan,False
272,8.845,981.19,238.32,8236.00,nan,nan,nan,False
273,8.878,980.85,238.50,8061.00,nan,nan,nan,False
274,8.910,980.90,238.33,8043.50,nan,nan,nan,False
275,8.944,981.34,238.49,8082.50,nan,nan,nan,False
276,8.978,981.49,238.27,8022.00,nan,nan,nan,False
277,9.012,981.40,238.52,8130.50,nan,nan,nan,False
278,9.046,981.55,238.61,7993.00,nan,nan,nan,False
279,9.078,981.23,238.09,7990.00,nan,nan,nan,False
280,9.110,981.67,238.57,8042.50,nan,nan,nan,False
281,9.144,981.93,238.19,8030.00,nan,nan,nan,False
282,9.176,982.02,238.57,8125.00,nan,nan,nan,False
283,9.206,982.12,238.40,8010.00,nan,nan,nan,False
284,9.235,982.00,238.32,8103.00,nan,nan,nan,False
285,9.268,982.13,238.15,7997.50,nan,nan,nan,False
286,9.303,981.92,237.96,8047.00,nan,nan,nan,False
287,9.334,981.33,237.56,8098.50,nan,nan,nan,False
288,9.368,981.79,237.73,8083.00,nan,nan,nan,False
