frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
337,10.012,282.13,255.04,4286.00,nan,nan,nan,False
338,10.041,282.22,255.15,4255.00,nan,nan,nan,False
339,10.070,281.99,255.41,4227.00,nan,nan,nan,False
340,10.101,281.90,255.24,4258.00,nan,nan,nan,False
341,10.130,281.57,255.45,4247.00,nan,nan,nan,False
342,10.158,281.77,255.03,4312.00,nan,nan,nan,False
343,10.186,281.80,255.46,4213.50,nan,nan,nan,False
344,10.213,281.54,255.24,4249.00,nan,nan,nan,False
345,10.243,281.17,255.36,4292.00,nan,nan,nan,False
346,10.273,281.41,255.14,4267.00,nan,nan,nan,False
347,10.302,281.44,255.35,4324.00,nan,nan,nan,False
348,10.330,281.19,255.15,4267.00,nan,nan,nan,False
349,10.359,280.58,255.17,4222.50,nan,nan,nan,False
350,10.387,280.37,255.18,4231.50,nan,nan,nan,False
351,10.414,280.49,255.33,4260.50,nan,nan,nan,False
352,10.442,280.33,255.31,4311.50,nan,nan,nan,False
353,10.471,279.96,255.38,4237.50,nan,nan,nan,False
354,10.499,279.57,255.86,4218.00,nan,nan,nan,False
355,10.527,280.14,255.09,4206.00,nan,nan,nan,False
356,10.556,279.97,255.06,4266.00,nan,nan,nan,False
357,10.585,279.38,255.27,4254.00,nan,nan,nan,False
358,10.613,279.07,255.32,4225.50,nan,nan,nan,False
359,10.643,279.36,255.31,4160.50,nan,nan,nan,False
360,10.672,279.15,255.21,4201.00,nan,nan,nan,False
361,10.703,279.87,254.74,4203.50,nan,nan,nan,False
362,10.730,279.80,255.05,4274.50,nan,nan,nan,False
363,10.757,279.50,255.46,4174.50,nan,nan,nan,False
364,10.788,278.44,256.03,4481.00,nan,nan,nan,False
365,10.819,204.46,249.28,160.00,nan,nan,nan,False
366,10.849,278.11,256.78,4244.50,nan,nan,nan,False
367,10.877,276.79,258.40,4317.50,nan,nan,nan,False
368,10.904,202.16,255.29,214.50,nan,nan,nan,False
369,10.933,275.28,261.41,4883.00,nan,nan,nan,False
370,10.963,276.83,258.12,4461.00,nan,nan,nan,False
371,10.990,283.24,257.27,4219.50,nan,nan,nan,False
372,11.019,286.82,256.60,4246.00,nan,nan,nan,False
373,11.047,289.63,253.24,4109.50,nan,nan,nan,False
374,11.074,291.45,253.18,4098.00,nan,nan,nan,False
375,11.101,292.60,252.85,4378.00,nan,nan,nan,False
376,11.130,292.77,252.05,4367.50,nan,nan,nan,False
377,11.157,292.27,252.70,4178.50,nan,nan,nan,False
378,11.184,291.60,252.97,4416.00,nan,nan,nan,False
379,11.217,290.75,252.78,4360.00,nan,nan,nan,False
380,11.249,289.79,253.60,4350.50,nan,nan,nan,False
381,11.279,287.64,255.72,4311.00,nan,nan,nan,False
382,11.307,287.14,256.24,4420.00,nan,nan,nan,False
383,11.345,285.73,257.29,4449.50,nan,nan,nan,False
384,11.373,284.42,257.40,4447.50,nan,nan,nan,False
385,11.403,284.48,258.33,4547.50,nan,nan,nan,False
386,11.431,280.64,258.63,4890.50,nan,nan,nan,False
387,11.460,275.94,259.45,5390.00,nan,nan,nan,False
388,11.491,283.92,255.76,4459.50,nan,nan,nan,False
389,11.520,283.13,255.36,4441.50,nan,nan,nan,False
390,11.549,283.56,255.03,4414.00,nan,nan,nan,False
391,11.581,282.95,256.69,4594.00,nan,nan,nan,False
392,11.610,282.99,255.04,4245.00,nan,nan,nan,False
393,11.639,274.53,258.84,5208.00,nan,nan,nan,False
394,11.673,277.09,259.79,5040.50,nan,nan,nan,False
395,11.708,279.91,259.34,4874.50,nan,nan,nan,False
396,11.741,291.60,255.10,4344.50,nan,nan,nan,False
397,11.771,291.57,254.47,4348.50,nan,nan,nan,False
398,11.802,294.43,253.93,4236.50,nan,nan,nan,False
399,11.830,296.74,253.78,4248.50,nan,nan,nan,False
400,11.859,296.14,252.51,4220.00,nan,nan,nan,False
401,11.888,295.65,252.53,4224.00,nan,nan,nan,False
402,11.916,295.10,253.09,4264.00,nan,nan,nan,False
403,11.949,293.79,253.14,4197.50,nan,nan,nan,False
404,11.977,292.44,252.53,4210.50,nan,nan,nan,False
405,12.006,292.46,251.62,4068.00,nan,nan,nan,False
406,12.038,292.59,250.60,4027.00,nan,nan,nan,False
407,12.072,291.65,250.97,4100.50,nan,nan,nan,False
408,12.103,290.97,250.77,4079.50,nan,nan,nan,False
409,12.133,289.52,250.51,4064.00,nan,nan,nan,False
410,12.160,288.89,250.62,4038.00,nan,nan,nan,False
411,12.190,287.93,251.14,4022.00,nan,nan,nan,False
412,12.220,287.83,251.23,4115.50,nan,nan,nan,False
413,12.248,286.74,251.42,4227.00,nan,nan,nan,False
